reviewer_name,review_time,star_rating,headline,review_content,experience_time
Claire Wallace,2023-05-24T09:34:56.000Z,Rated 1 out of 5 stars,Stop grooming children with trans…,Stop grooming children with trans nonsense. You are a disgrace,"May 23, 2023"
William,2023-05-24T08:17:23.000Z,Rated 1 out of 5 stars,Utterly sickening to see you selling…,Utterly sickening to see you selling tucking shorts.,"May 23, 2023"
AL,2023-05-24T05:02:57.000Z,Rated 1 out of 5 stars,I’m out,"I’m out ! Morals & Values mean something, you better wake up! It’s very hard to get buyers back, just ask Bud","May 23, 2023"
Jamie Harline,2023-05-24T04:37:07.000Z,Rated 1 out of 5 stars,Just lost my business and my…,Just lost my business and my communities business. Thank your gender department!,"May 16, 2023"
Linda,2023-05-24T04:34:18.000Z,Rated 1 out of 5 stars,I can’t believe walmart would promote…,I can’t believe walmart would promote trans and Satan related items in their children’s department. I will boycott this disappointing store . This is truly evil,"May 23, 2023"
Joshua Taylor,2023-05-24T03:19:01.000Z,Rated 1 out of 5 stars,This company has poor morale ethics and…,This company has poor morale ethics and has an agenda to push inappropriate beliefs on our children. I hope Americans wake up and let them flop. ,"May 23, 2023"
Shari Caruso,2023-05-24T03:15:38.000Z,Rated 1 out of 5 stars,I am a wife and a mother of a…,"I am a wife and a mother of a six-year-old little boy. After seeing the lgbtq display geared towards babies and children, I will never spend another penny in this establishment. My husband also will not because we do not agree with this message. Why can't kids just be kids? Do you really think children care about gender this, non binary that? Do you think a little boy would really want to tuck his penis between his legs, to make it look more like a vagina? No little boy would do this unless he was being taught to or groomed to. I think it is sickening that walmart is supporting and promoting this by selling these products. I also am opposed to walmart selling designs by a Satanist. That person seems very angry. In checking out her website, it seems to me that she hates straight people.  Does walmart not do research about designers before they commission them? Maybe walmart stands behind devil worship. I guess that would explain why they are trying to indoctrinate our children with all the lgbtq geared towards kids. If you shove that stuff in their face all the time, I think there will be a chance that they will want to do it. Children emulate us. They are very malleable at their young age. I am greatly disappointed. I am currently in the process of telling all of my family members about the lgbtq line in hopes they will no longer shop at walmart. My mom agrees with me and she already said she won't go back. Many more relatives to go. I think when a company walmarts kids' people like me will stand together to fight it for the sake of our children.","May 23, 2023"
Kerstin Trautwig,2023-05-24T01:31:22.000Z,Rated 1 out of 5 stars,NOOOOOOOO,"walmart, WHAT ARE YOU DOING? NO MORE SHOPPING IN YOUR STORES.GOOD BYE","May 23, 2023"
Tiger Lilly,2023-05-24T00:46:47.000Z,Rated 1 out of 5 stars,How about not following socialist and…,How about not following socialist and far left agenda and don't sell gay pride transgender clothes that cater to gay people like you're talking bathing suits for women seriously I don't know what is going on with you but I definitely don't want to shop at a place that has the devil's Mark all over it,"May 23, 2023"
Ken Bohn,2023-05-23T23:59:15.000Z,Rated 1 out of 5 stars,walmart trying to Brainwash our children!,"It's Beyond Disappointing to see that walmart is walmarting our children with Transgender philosophy, clothing and rhetoric. Shame on the CEO for allowing this to happen. What a horrible leader making a horrible decision for such a loved company.  My wife and I Spend $8000 a year at walmart on our Red card and have been loyal customers for years.  We are in the store every week.  That said, we are now wondering what to do. We are so disgusted by this recent line of clothing and products walmarting children that we are contemplating stopping all of our spending here. Our love for walmart is gone. Now just trying to figure out where to spend our money instead.","May 01, 2023"
marc garoiu,2023-05-23T22:49:55.000Z,Rated 1 out of 5 stars,Stop promoting Transgender clothing to…,Stop promoting Transgender clothing to children.,"May 23, 2023"
Eve Kov,2023-05-23T21:26:27.000Z,Rated 1 out of 5 stars,walmart pushing LGBTQRST trash on…,"walmart pushing LGBTQRST trash on Children,  you will lose business just like bed bath and beyond.  Also Bud Light. Keep playing.","May 23, 2023"
John C,2023-05-23T19:59:50.000Z,Rated 1 out of 5 stars,How absolutely disgusting to see the…,How absolutely disgusting to see the merchandise (SATAN RESPECTS PRONOUNS!???) on display.  Shame on this company.  Glad they earned the respect of Satan - if that's where the people making these decisions want to end up then have at it.  We're joining the boycott.,"May 21, 2023"
Mark Darnell,2023-05-23T19:15:23.000Z,Rated 1 out of 5 stars,Stop promoting Transgender clothing to…,Stop promoting Transgender clothing to children.  I can assure you that most of your employees do not care for this.  Stop bowing down to the politicians and stay neutral.  Ask Budweiser.  They wish they could reverse the last 45 days!!,"May 23, 2023"
ThePenNerd,2023-05-23T15:26:02.000Z,Rated 1 out of 5 stars,walmart stinks,walmart stinks. The products are overpriced and poor quality. Most importantly they are erasing the innocence of children by promoting hypersexualized clothing.,"May 22, 2023"
Grand Poobah,Not found,Rated 1 out of 5 stars,The artist says Satan loves us. Sold out to the ever triggered trans BS. You suck!,walmart is walmarting children and now bows down to the always triggered snowflakes. I am finished with walmart corp. since they have sold out to the woke agenda of Transgender ideology. They combined forces with a satanist called abprallenuk to created,"May 22, 2023"
Shawn Laverne,2023-05-22T22:06:06.000Z,Rated 1 out of 5 stars,1 register open at 12:00 pm,"walmart in Pittsburgh California sucks, will have only the express lane open and you got people buying more than ten items. Sat in a line for 30+ minutes for 3 items while the people in front of me purchased a basket full. It's called express for a reason and shouldn't no store this size only have 1 register open.","May 22, 2023"
Vera Passmore,2023-05-22T21:16:46.000Z,Rated 1 out of 5 stars,Worst place in the world to shop,Worst place in the world to shop. Never again!,"May 21, 2023"
D.,2023-05-22T13:24:00.000Z,Rated 1 out of 5 stars,They are pushing trans ideology in…,"They are pushing trans ideology in their children's clothing section. They are predetors, and more concerned with an ESG score than running an actual business. I'd implore you to spend your money elsewhere, that is not pushing an agenda that confuses and manipulates children into mutilating themselves and becoming lifelong customers of Big Pharma.","May 21, 2023"
Rhonda,2023-05-21T22:04:30.000Z,Rated 1 out of 5 stars,The employees at the walmart on Sawmill…,"The employees at the walmart on Sawmill Rd. In Dublin, OH was at its worst with customer service yesterday.  I went to pick up an order I had placed online for a gift and the person behind the Returns guest couldn’t find the order and decided to tell everyone standing in line that I hadn’t really placed an order.  I had the order on my phone and then asked to speak to the store manager who was polite and had someone get the item for me.   Before I could leave I needed to pick up a card and wrapping paper.  As I started back to the cashier to pay for those, I saw their security guard, who looked about 16 years old, following me as if I was a thief.  When I asked him about it he at first denied it but then started yelling at me that he was just doing his job.  Why does he need to follow me around the store in order to do his job?  After paying I passed by him again and he started yelling at me to “get out’” getting louder and louder, drawing attention.  I was humiliated and somewhat afraid of physical harm, so I left rather than calling the police as I should have.  I attempted to call after I got home to let the manager know, but no one ever answered the phone.  I did absolutely nothing to deserve this type of treatment.  This was harassment at its worst and I will never go back there again.","May 20, 2023"
Candice German,2023-05-21T21:21:03.000Z,Rated 4 out of 5 stars,I’d like to inform walmart ( was my…,I’d like to inform walmart ( was my favorite shopping place) that I will never shop there again- because of the new line of clothing for Trans friendly clothing line for children- Shame on you walmart,"May 20, 2023"
Daisy Pagne,2023-05-21T15:25:29.000Z,Rated 2 out of 5 stars,Too Liberal,Sad to close my account with walmart and will no longer Shop due to their stand on LGBT.,"May 21, 2023"
Margaret Dunne,2023-05-21T02:29:24.000Z,Rated 1 out of 5 stars,I'm done w/ walmart,I'm done w/ walmart. Pushing woke agenda on our children disgusts me.,"May 20, 2023"
Roxanne Melsheimer,2023-05-20T05:24:44.000Z,Rated 1 out of 5 stars,I use to love to shop at walmart,I use to love to shop at walmart. But since they have gone woke I will not shop there. And I encourage my family to do the same. They want to support transgender then they can get their support/money from them,"May 19, 2023"
Ashley,2023-05-19T17:41:04.000Z,Rated 1 out of 5 stars,I'm very disappointed how walmart is…,I'm very disappointed how walmart is pushing this LGBT crap on my children!!! I WAS a very loyal customer for so long but after this kind of push I'm sorry to say I will NEVER shop at walmart again.   I really hope walmart takes this stuff down or I believe you will lose alot of customers because of your poor decision to follow this agenda,"May 19, 2023"
Rick Kliebenstein,2023-05-19T01:43:20.000Z,Rated 1 out of 5 stars,I have been a loyal customer for years…,I have been a loyal customer for years along with my family and friends.,"May 18, 2023"
Borche,2023-05-18T09:19:51.000Z,Rated 1 out of 5 stars,Bizzare,Bizzare,"May 18, 2023"
Joelle Bramwell,2023-05-18T05:44:11.000Z,Rated 1 out of 5 stars,I loved walmart,"I loved walmart. It used to be my favorite store to just go in to wander and buy stuff I didn’t need. Well, not anymore. walmart used to have the best clothing but they changed so many lines and now I can’t find anything I liked.  Is it me or did walmart try to become classy? Why? It totally messed up the store.  I feel like somewhere over the last few years both walmart and Kohls went downhill. I find myself liking Walmart so much more. I never thought I would say that.  I used to go to walmart weekly, now I go once every few months. Usually when I do go it’s because I want Starbucks.  I just don’t know why anyone would change a good thing. If I wanted a class store I would go to Nordstroms.","April 09, 2023"
Jim cinque,2023-05-18T03:20:24.000Z,Rated 1 out of 5 stars,I think everyone should boycott this…,I think everyone should boycott this store Promoting trains gender,"May 17, 2023"
Ahart,2023-05-17T20:45:30.000Z,Rated 1 out of 5 stars,This store is the WORST!!!,This store is the WORST!!!! They are selling children’s clothing that is sexual in content. What is wrong with them!!! These are innocent precious children that are being subjected to sexually oriented clothing if a person chooses to shop there. Well I’m done with this store!! You disgust me. ENOUGH IS ENOUGH LET OUR CHILDREN BE CHILDREN!!!!! I only gave it a one star because I had to so I could post this review.,"May 17, 2023"
Amber Dennis,Not found,Rated 4 out of 5 stars,walmart you guys are Rockstars!!,"I was a Walmart girl until the pandemic. walmart held it together through out the entire pandemic and is still doing amazing. I place orders on the App for curbside pickup ( which is free ) and you can order and pick up from store opening hours until closing hours. The spots do not get full like Walmarts. You can get groceries, clothes, toiletries I mean anything they sale. They have never disappointed at any walmart I’ve went to. Thank you walmart for being a saving grace during and after the pandemic. Thank you also for always being polite and friendly and bringing my stuff out to my car even in the rain !! You’re All Rockstars!!","May 11, 2023"
Fanu Fanuel,2023-05-17T04:12:11.000Z,Rated 1 out of 5 stars,Stop your stupid woke and gender bull…,"Stop your stupid woke and gender bull agenda , and take those nasty kids products off the shelves","May 16, 2023"
Erin Rovinski,2023-05-17T01:10:33.000Z,Rated 1 out of 5 stars,Stop pushing your agenda!,"I don't know what this company has done to itself, but I believe they will lose more customers if they keep selling the ridiculous items for kids and adults. You do not need to push sexuality onto our children or having them wear little sleazy dresses. Let our children be little and stop pushing your agenda!","May 11, 2023"
Rebecca,2023-05-16T17:14:13.000Z,Rated 1 out of 5 stars,This is sad,This is sad. This was my favorite store.  No more shopping at walmart for me or my family.,"May 16, 2023"
Hot One Recordz,2023-05-15T01:25:56.000Z,Rated 1 out of 5 stars,walmart is absolutely ridiculous,"walmart is absolutely ridiculous. I'm a truck driver and during the pandemic I was so busy driving and getting supplies delivered all over America. My Red Card was set on autopay and since I couldn't manage my credit union I switched my payment to my other bank since they're nationwide. Unaware that it didn't apply for the current month my payment failed to post. walmart ended up putting 2 late payments on my account. I've written, called and filed a complaint with CFPB about this error. walmart refuses to rectify the entries. I had same issue with Kohls and Walmart. They immediately fixed these late payments but walmart is so greedy and unfair they will not fix it no matter what. I can't wait to pay this account off and close it even though it's one of my oldest cards. I refuse to give them my business after this.","May 13, 2023"
Karen Solomon Dunn,2023-05-13T06:27:04.000Z,Rated 1 out of 5 stars,Disappearing negative product rating,"I discovered that, after I bought a ""highly rated"" product and discovered that it wasn't that great... then ATTEMPTED to rate that item 2-stars... my review never showed up on walmart's website.","May 02, 2023"
Derek Johnson,2023-05-12T23:27:40.000Z,Rated 1 out of 5 stars,This company is not ran well at all,This company is not ran well at all. I think walmart is trying to be the next Bud Light. The store in North Spokane was full of transgenders and phage. I’m disgusted and look forward to your bankruptcy walmart. Transgender children’s clothing????? You outta be ashamed of yourself. I will never support a company that feels like they need to shove this phag crap down our throats. I’m finished with two companies now.,"May 12, 2023"
Eugenie McClintock,2023-05-12T00:36:03.000Z,Rated 1 out of 5 stars,Warning,"Warning:  Don't order from walmart.com.  I ordered shampoo and received the wrong order.  I was charged $5.99 for shipping.  I returned the item to walmart at the Metroplex in Conshohocken and received a refund for the item, but not the shipping. I was told to call walmart.com which I did.  However, they do not return shipping fees. So, in addition to sending me the wrong item, they stole my shipping fee. I've had nothing but a run-around with walmart.","May 11, 2023"
Michael Mong,2023-05-11T01:44:09.000Z,Rated 1 out of 5 stars,Store for TRANSGENDERS  ONLY,walmart is one of the worst companies out there! DO NOT SHOP THERE. They are horrible!! I tell everybody I know NOT to shop there or boycott the company! NOW THEY SELL Transgender clothing for children THAT IS SICK!  GREAT STORE FOR PERVERT’S,"May 10, 2023"
Cassina Sawyer,2023-05-10T14:31:02.000Z,Rated 1 out of 5 stars,Did not get all my items shipped,Did not get all my items shipped. Customer service is overseas they can barely speak English. Will never shop at walmart again.,"May 06, 2023"
Jake Thurman,2023-05-08T22:46:34.000Z,Rated 1 out of 5 stars,RedCard Program Scam,"Several months ago I joined the walmart Redcard Program because it offered 5% cashback and free shipping on many items without having to meet the $35 minimum otherwise required. I've only been able to order one time where I got free shipping without having to spend $35. Again, today when I ordered, all items met the requirements of the program but I but I did not get free shipping nor did I get the correct amount of cashback. All items that I selected say in the description very clearly that it's free shipping with Red card or a $35 minimum without. This is a very difficult and frustrating company to deal with.","May 08, 2023"
Dawn,2023-05-08T22:12:29.000Z,Rated 1 out of 5 stars,"walmart.com ""manager"" abusive & demeaning","Called walmart.com for being overcharged.  Spoke with a manager who was already annoyed answering the phone- I was more polite and cheery than she was.  Explained my situation.  She told me there was nothing she could do and demeaned my comments.  I was respectful and stated my experience to her clearly and calmly.  When I proceeded to ask more questions, she continue to speak over me repeatedly saying ""maam, there's nothing else I can do to resolve this issue, we're done here"" Then I tried to speak again and she repeated the phrase on my 2nd word in.  Over and over, 3 times she repeated this phrase while I was speaking as I tried to ask her another question.  Zero emotional stability and zero solutions-oriented ""manager"".  She should not be a manager at all.  I finally stopped talking and she said, ""is there anything else I can help you with today?""  When I said yes, she hung up on me.  Worst service I've ever experienced with any company.  I'm done with walmart for good.  I don't need to be abused while spending my money somewhere.  I'm shopping at Amazon and other specialty stores from now on that treat their customers with kindness.","May 07, 2023"
Susan Burman,2023-05-07T22:22:12.000Z,Rated 5 out of 5 stars,Elama Contessa Dinnerware …,"I just purchased Elama Contessa dinnerware - 2 sets - and it is absolutely stunning.  The colour is a soft off-white, the details in the design are uniform and attractive ... and with shipping all went A-OK.","April 20, 2023"
Renee,2023-05-07T20:27:50.000Z,Rated 1 out of 5 stars,walmart is one of the worst companies…,walmart is one of the worst companies out there!  DO NOT SHOP THERE. They are horrible!!  I tell everybody I know NOT to shop there or boycott the company!!!  walmart you suck!!!,"May 01, 2023"
Ken Kittridge,2023-05-06T02:07:35.000Z,Rated 1 out of 5 stars,Not sure why walmart eliminated the…,"Not sure why walmart eliminated the guest checkout, what a horrible decision.  Sick of these companies and their shady practices!","May 05, 2023"
Gary Eilers,2023-05-04T18:48:18.000Z,Rated 1 out of 5 stars,I will never shop at a walmart again and…,I will never shop at a walmart again and will tell everyone I know to do the same. Selling boys clothes that make them look like girls. Outrageous !!! You have gone way too far recently regarding supporting this kind of nonsense. You are the problem in this country and are trying to ruin our children!!  DONE FOREVER WITH walmart,"May 04, 2023"
Colleen Grafenstein,2023-05-04T18:06:10.000Z,Rated 1 out of 5 stars,Recently bought a new Consumer Cellular…,"Recently bought a new Consumer Cellular phone at the Eden Prairie, MN store.  Initial visit was okay when setting up the phone.  Keep getting error messages indicating set up not complete.  Went back today, 5/4/23 and there is no tech employee working so no one to help me.  I was met with ""She was sick yesterday not sure she is coming in today"".  Also, ""She drives a distance so not always arrives at 10:00"".  ","May 04, 2023"
KM,2023-05-04T17:22:16.000Z,Rated 1 out of 5 stars,Worst customer service,Worst customer service. Refused to issue a refund even though the tracking number showed delivered.,"May 01, 2023"
annju yoon,2023-05-03T19:43:45.000Z,Rated 4 out of 5 stars,the last weekend i went to Burlington…,"the last weekend i went to Burlington and walmart at Miami beach. As a retail outlet stores is not a personalized attention but anyway ok for this kind of store. But instead is good to mention an incident what affect the stores at the shopping center where it's located, I had a disgusting experience. A housekeeper a Lady who looked latin and maybe drunk for your behavior, who was cleaning the floor was very rude, and yelled at me, MOVE.  and spoke in Spanish muttering  other words, also she was not careful when she saw what i was going through to go up the stairs and i don't know if CARELESSLY or NOT she threw garbage at me that she was sweeping.","April 29, 2023"
Eileen Coursen,2023-05-01T17:12:21.000Z,Rated 1 out of 5 stars,MAJOR OVERCHARGE ON DELI SLICE MEATS,"I ordered for delivery, online,  1 lb of deli sliced ham and 1 lb of deli sliced turkey. These items are already pre-sliced and available in the deli cooler pick up section. They slice and wrap in 1/2 lb packages. So....If I want 1 lb, it takes 2 one-half pound packages. Probem is, MAJOR problem is that product is priced per package, not per pound. So, you are charged for 4 lbs of sliced deli product! Translation: AT $8.99 & $9.99 per lb, the overcharge is $18.98!!!!!!!!!!","April 30, 2023"
Stieve Smith,2023-04-30T20:19:10.000Z,Rated 1 out of 5 stars,Very dump services of walmart Sh**t,"for the last 3 days, we are trying to place an order on walmart but every time it got canceled when I talk to one of the repenstative  said to create a new account and placed an order when I create a new account and place order the order was again canceled and i told to them and they said we can't do anything","April 30, 2023"
DocRow,2023-04-24T23:46:48.000Z,Rated 1 out of 5 stars,walmart Customer Service UGH!,"The staff at walmart at Gateway are awful and rude. They lack training in basic CS. This is why I have disdain for this store..ugh!  I went to pick up an item and the lady just walked up to me and said nothing. Just pointed the reader at me.  Huh? I asked her a question about the bag charge and she explained it’s just a hold and blah, blah was her tone. She said she takes the hold off. Since she has the power we are doomed!  Her enthusiasm was zero.","April 24, 2023"
Maria,2023-04-22T14:23:21.000Z,Rated 1 out of 5 stars,I have tried for the past hours to…,I have tried for the past hours to purchase swim trunks for my niece  and the website gives me nothing but error codes. I had a someone who attempted to help me via walmart assist. And yet the website still will not let me make a purchase..it’s faulty need to work on it,"April 22, 2023"
Tabitha Kraft,2023-04-20T19:26:07.000Z,Rated 1 out of 5 stars,I have tried for the past hour to…,I have tried for the past hour to purchase therapeutic puzzle for my client and the website gives me nothing but error codes. I had a guy named Kyle who attempted to help me via walmart assist. And yet the website still will not let me make a purchase. I quit due to frustration and figured I already wasted an hour of my time. In order for me to delete this review I would like my puzzle for free. It is still in the cart. I can't even bring myself to go back onto the website...,"April 20, 2023"
Lesley Roberts,2023-04-20T01:39:07.000Z,Rated 1 out of 5 stars,Unfulfilled expectations based on…,Unfulfilled expectations based on promise of shipment of purchased products. Guaranteed 2 day shipping - 7 days later still no package from FedEx. FedEx sucks!!!,"April 11, 2023"
John Silverman,2023-04-18T18:16:28.000Z,Rated 5 out of 5 stars,it's great shopping at walmart, ,Not found
Lisa Ragazzo,2023-04-17T21:29:51.000Z,Rated 1 out of 5 stars,"walmart switched high ""refund"" from original form of payment for defective item to a gift card claiming their ""system"" could not process.","I purchased a patio set which rusted within 4 months.  walmart agreed to return and refund my money.  Paid for a truck to return set according to walmart's directions. In the end, they wanted the refund to be as a gift card and not to my original form of payment.  Nothing was ever stated about that change.","April 11, 2023"
Frances Meltzer,2023-04-16T23:11:16.000Z,Rated 1 out of 5 stars,Do not shop walmart on Sun afternoon or…,Do not shop walmart on Sun afternoon or evening they don’t buy enough so thrt r out if 69% of my order ,"April 16, 2023"
Lewis Barbara,2023-04-16T08:43:31.000Z,Rated 5 out of 5 stars,I was able to redeem my gift card that…,I was able to redeem my gift card that I got as a birthday present. I always had a great shopping experience at the walmart. I won't mind to rate them high!,"April 05, 2023"
Cristi Lindsay,2023-04-15T06:12:51.000Z,Rated 3 out of 5 stars,walmart is overall a good shopping…,"walmart is overall a good shopping experience with good items, but I'm getting tired of the ""wokeness."" In the women's section right now, for example, they have huge photos of women models with a man with earrings and a feminine look who is probably supposed to represent someone non binary or gender fluid. Why? And don't get me started on Pride month and walmarting BABIES with the pride clothing, etc.","April 14, 2023"
Lauren Toole,2023-04-15T02:13:45.000Z,Rated 1 out of 5 stars,Customer service is the worst!!, ,Not found
KS,2023-04-13T00:24:50.000Z,Rated 2 out of 5 stars,The problem with walmart is they are woke.,"The problem with walmart is they are ""woke"" and their online site isn't great. I ordered ""The Real Anthony Fauci"" book as a gift. But, they kept sending me the option to cancel or wait for the book to come in. I let it go for months, but it was available on Amazon. I wanted to see if they ever planned to get the book. Finally I ordered from Amazon. Then while the store I go to is very pleasant in a upscale family oriented area & service is great, they bombard the store with large photos of really ugly, fat, ""ethnic"" models & now clearly lesbians. I find this in your face treatment repelling. There is a reason why models were always chosen for their beauty. And why do we need all these photos? walmart would prefer to offend 96% of us to please the 4%? I think I'll just boycott them. Go woke go broke.","April 12, 2023"
Carter Schondelmayer,2023-04-12T20:09:08.000Z,Rated 1 out of 5 stars,Bought a great outdoor furniture set,"Bought a great outdoor furniture set. Delivery was short one chair. Called and they said would send, easy! Sent two chairs and have had 15 emails and calls trying to get their extra chair back to them. For weeks. Ridiculous shipping issues and their errors should be easier on customers.","April 12, 2023"
Rita Sandoval,2023-04-09T20:56:29.000Z,Rated 2 out of 5 stars,walmart does not pay their Employee’s…,"walmart does not pay their Employee’s very well minimum wage or offer very many shifts with enough hours and to boot they only give 9 cent raise ?? 9 cent’s ??? That’s a slap in the face, so please wait an other year to move up 9 cents ? What is going on here !!!! walmart you make so much money you can do way way better I’m not shopping there any more for the way they treat their employees !","April 01, 2023"
Susan,2023-04-07T04:17:08.000Z,Rated 1 out of 5 stars,Terrible Customer Service,"I just had another terrible experience at walmart with Drive-Up for groceries. To keep this short, and to the point, I sat in my car for 20 minutes while I watched cars, again, drive up, get their groceries and leave. I finally flagged  down one of the employees outside and asked where is my order and this kid, Matthew, said oh, I’m sorry that was me. I thought another girl had your order, so he signed it off. He thought it was funny because he was smiling and thought it was amusing the whole time he was telling me. I went into the store because the ice cream was like mush, and the manager had the same ridiculous attitude as this kid. I am truly done with walmart. There are too many other good stores out there where I don’t encounter these repeated problems.","April 06, 2023"
Tommy,2023-04-06T01:12:29.000Z,Rated 1 out of 5 stars,Would go with 0 stars if possible,Would go with 0 stars if possible. ,"April 05, 2023"
Lisa,2023-04-05T01:19:38.000Z,Rated 5 out of 5 stars,Relaxing Experience,walmart has always set a higher standard from most stores. They make it comfortable to shop around. The store is well organized and clean. The employees are very friendly and willing to help. I would recommend walmart to anyone looking to experience a relaxing shopping experience.,"April 04, 2023"
JUDIT,2023-04-03T09:35:07.000Z,Rated 1 out of 5 stars,I received this email:,I received this email:,"April 02, 2023"
Dee L Parks,2023-04-02T01:19:29.000Z,Rated 1 out of 5 stars,Don't spend hard earned money at walmart!,The worst customer service of all retailers. Understaffed.,"April 01, 2023"
Julia HAMMOND Durbin-Chaknova,2023-04-01T10:54:20.000Z,Rated 1 out of 5 stars,I typed in Miley Cyrus Reviews,"I typed in Miley Cyrus Reviews. The first thing that popped up was an advertisement for Cyrus from walmart Corporation informing me that I could buy Cyrus' Music at walmart. I do not need to purchase this music, nor would I want to buy it! walmart seems to attempt to influence my purchasing decisions by informing me that I have only positive things to say about Cyrus. Because of these facts, now I have an even lower opinion of walmart Corporation than I did before I searched for 'Miley Cyrus reviews' at DuckDuckGo. This will happen no matter which search engine I use. This shows that internet programmers are attempting to program me. I find that unacceptable. I can think for myself.","April 01, 2023"
CatMan,2023-04-01T07:17:03.000Z,Rated 4 out of 5 stars,Good Retailer,"Good store with decent prices and good selection of products. You can’t expect great in store customer service from any discounter. If you want great customer service, shop at Gucci.","March 31, 2023"
Diane F.,2023-03-30T23:21:57.000Z,Rated 1 out of 5 stars,Customer service is the absolute worst…,"Customer service is the absolute worst I have experienced.  Takes ages to reach a customer service rep. Pressing 1-5 pressing 1-4 etc.  Promise to follow through but nothing happens.  Today system is down and asked me to call back, after numerous phone calls and many hrs. trying to resolve.  I am going to cut up my walmart card and shop elsewhere where the customer is respected.","March 15, 2023"
D hall,2023-03-30T22:29:33.000Z,Rated 1 out of 5 stars,Unfortunately I received a walmart gift…,"Unfortunately I received a walmart gift card for Christmas. I hate to even have to purchase anything from them at this point. I work from home and the nearest walmart isn't convenient for me to get to so I tried to place my order online. It would look as though my order went through but later it would say order canceled by walmart, with no other information. walmart support is extremely unhelpful. They keep telling me they can't help me and to go to the walmart store to make my purchase in purchase. Because of this I will never shop here again. You really need to step up your game walmart. Your customer service is seriously lacking!!!","March 30, 2023"
LINCOLN JORDAN,2023-03-29T19:40:13.000Z,Rated 1 out of 5 stars,Trash dog noob, ,Not found
Timothy Grant,2023-03-28T19:38:07.000Z,Rated 1 out of 5 stars,I’ll try and summarize our experience…,I’ll try and summarize our experience as best as possible. We had a red card and used it a lot. Filed for bankruptcy in 2017 and walmart was on that list of who was contacted. 6yrs later they have changed it to a Mastercard and increased the limit multiple times. We’ve continued using it and never leaving a balance. 2023 our bankruptcy was discharged as complete and they were notified of this. Immediately they closed our account without notifying us leaving me in a last minute pace to contact all companies I have reoccurring charges with to provide new payment methods. They also refused to pay us the accrued reward dollars (even in a gift card) we earned by spending monies in store or using the walmart Mastercard. When asking for higher supervisor the last manager said she was it and refused to go higher and proceeded to hang up on me. All I can say is walmart doesn’t treat their customers respectfully nor meet reasonable solutions when they clearly screwed up. Lost our business for life.,"March 28, 2023"
julie silva,2023-03-23T03:47:48.000Z,Rated 1 out of 5 stars,Actually it's 0 stars but that option…,Actually it's 0 stars but that option is not available.  walmart online customer service is deplorable!!  Out of Country customer service people that have 0 clue about providing any form of customer service.  I sent an item back over a week ago with the label walmart sent to me via email.  I have the tracking from UPS but walmart states they cannot yet locate it!@#$%^&*()_. SERIOUSLY!!!!!.  TIME TO CALL MY BANK AND DISPUTE THE CHARGE!!!!!!,"March 22, 2023"
David Smith,2023-03-22T10:59:49.000Z,Rated 3 out of 5 stars,walmart workwear the clothes are decent…,walmart workwear the clothes are decent and fair priced. Staff are nice at the london store in symal house,"March 19, 2023"
Prune,2023-03-22T08:43:20.000Z,Rated 2 out of 5 stars,Both software and human interfaces are unacceptable.,"I came to purchase a mattress pad, having found the one I wanted in under 4 minutes.  This *should* be a simple task, as with other purchases: click to add the item to my cart, click to check out, enter my shipping and payment information, and get on with my day.","March 21, 2023"
Fritz Reichenbach,2023-03-21T13:59:35.000Z,Rated 2 out of 5 stars,Website,"The website was very difficult to not only navigate but place an order. I only tried to order 3 items but it automatically became 5 items and exiting out and attempting a second and third time only resulted in the number of items increasing to 8 items. I finally had to call the number listed to place the order and get a confirmation. Then when I attempted to leave a comment on the Traget.com website I was unable to do so and had to go to this site to leave a comment. This cannot be defined as ""good customer relations"".","March 21, 2023"
Misty Williams,2023-03-18T22:04:11.000Z,Rated 5 out of 5 stars,I bought a core innovations tv mount…,I bought a core innovations tv mount about a month ago and wanted to say that it has worked out great for me. I would recommend this product to anyone whom needs one.,"February 12, 2023"
Lauren Rennie,2023-03-17T14:32:13.000Z,Rated 1 out of 5 stars,walmart offers a ‘welcome gift’ bag when…,"walmart offers a ‘welcome gift’ bag when you sign up for a baby registry with them. However, the big catch is you have to go into the store to pick it up while other companies like Amazon, Walmart and Babylist send them to your home. The only walmart near me is 30 min away and I was informed that they only get about 4 welcome gifts at a time and obviously they are gone immediately! I don’t understand why a large company like walmart can’t be courteous to pregnant women and send them the welcome gift like everyone else… I mean even Walmart does. I should also mention this walmart is in a highly populated area and it’s the only one in the area; you’d think they’d give them more than 4 bags at a time if they’re going to make people go get them and they know they have a large client base there. Cheap scapes… don’t waste your time with walmart baby registry, sign up for the other three I listed!","March 15, 2023"
Sarah Ghany,2023-03-17T03:51:49.000Z,Rated 1 out of 5 stars,I was a visitor for a week in…,"I was a visitor for a week in Washington DC. I purchased alot of items from walmart because of their promise of same day delivery. The funds came out of my card right away however, none of the items were delievered to me. Each agent I spoke to nicely dismissed me and said I cannot get a refund although I was due to leave the country the next day and they don't want to send who signed for the paclage and where it was left. This was my first time purchasing from walmart and believe me, this is the last time. Rest assured, I will be spreading the word far and wide for a boycott.","March 14, 2023"
